rxnIDs_ref	modelIDs	refVals	condVals	log2FC	subSystems	grRules
Amino-Acid N-Acetyltransferase (reversible)	r_4380_REV	0	0	0		
Acetylcysteine transport via proton symport (reversible)	r_4381_REV	0	0	0		
thiosulfate:ferricytochrome-c oxidoreductase (reversible)	r_4382_REV	0	0	0		
etrathionate transport via diffusion (reversible)	r_4383_REV	0	0	0		
5-Dehydro-D-gluconate transport via proton symport (reversible)	r_4385_REV	0	0	0		
ala-L-asp-L transport via proton symport (reversible)	r_4387_REV	0	0	0		YJR152W or YKR093W
2',3'-Cyclic CMP transport in via proton symport (reversible)	r_4389_REV	0	0	0		
beta-glucosidase (methyl-alpha-D-glucoside) (reversible)	r_4390_REV	0	0	0		
alpha-Methyl-D-glucoside transport via proton symport (reversible)	r_4392_REV	0	0	0		
D-tagatose 6-phosphate 4-epimerase (reversible)	r_4394_REV	0	0	0		
D-tagatose uptake via diffusion (reversible)	r_4395_REV	0	0	0		YDL245C or YDR342C or YDR343C or YDR345C or YEL069C or YFL011W or YHR092C or YHR094C or YHR096C or YJL214W or YJL219W or YJR158W or YMR011W or YNR072W or YOL156W
N-Acyl-Aliphatic-L-Amino Acid Amidohydrolase (reversible)	r_4397_REV	0	0	0		
Ala-Gln transport via proton symport (reversible)	r_4398_REV	0	0	0		YJR152W or YKR093W
L-alanyl-L-glutamate transport in via proton symport (reversible)	r_4399_REV	0	0	0		
Ala-Thr transport via proton symport (reversible)	r_4401_REV	0	0	0		
Ala-Thr transport via proton symport (extracellular to cytosol) (reversible)	r_4402_REV	0	0	0		YJR152W or YKR093W
Gly-Asn transport via proton symport (extracellular to cytosol) (reversible)	r_4404_REV	0	0	0		YJR152W or YKR093W
glycerol 1-phosphate transport (reversible)	r_4405_REV	0	0	0		
D-O-Phosphoserine transport in/out via proton symport (reversible)	r_4406_REV	0	0	0		
D-O-Phosphoserine phosphohydrolase (reversible)	r_4407_REV	0	0	0		
L-alanyl-L-glutamate transport in via proton symport (reversible)	r_4408_REV	0	0	0		YJR152W or YKR093W
3-oxalomalate glyoxylate-lyase (oxaloacetate-forming) (reversible)	r_4410_REV	0	0	0		
L-Cysteate transport via proton symport (reversible)	r_4419_REV	0	0	0		
alpha-glucosidase (reversible)	r_4420_REV	0	0	0		
2-Hydroxyethanesulfonate transport via proton symport (reversible)	r_4421_REV	0	0	0		
3-Oxalomalate transport via proton symport (reversible)	r_4422_REV	0	0	0		
Gly-Met transport via proton symport (reversible)	r_4423_REV	0	0	0		
Gly-Gln transport via proton symport (reversible)	r_4424_REV	0	0	0		YJR152W or YKR093W
Gly-Gln transport via proton symport (reversible)	r_4425_REV	0	0	0		
Ala-Gln transport via proton symport (reversible)	r_4426_REV	0	0	0		
N-Acetylmethionine transport via proton symport (reversible)	r_4427_REV	0	0	0		
Phosphotyrosine transport via proton symport (reversible)	r_4428_REV	0	0	0		
Ala-His transport via proton symport (reversible)	r_4429_REV	0	0	0		YJR152W or YKR093W
Ala-His transport via proton symport (reversible)	r_4430_REV	0	0	0		
ala-L-asp-L transport via proton symport (reversible)	r_4431_REV	0	0	0		
thymidine 3-monophosphate transport (reversible)	r_4433_REV	0	0	0		
thymidine 5-monophosphate transport (reversible)	r_4434_REV	0	0	0		
Gly-Glu transport via proton symport (extracellular to cytosol) (reversible)	r_4437_REV	0	0	0		YJR152W or YKR093W
Gly-Glu transport via proton symport (cytosol to vacuole) (reversible)	r_4438_REV	0	0	0		
L-methionine transport, vacuoluar (reversible)	r_4440_REV	0	0	0		
L-threonine transport, vacuoluar (reversible)	r_4441_REV	0	0	0		
cysteamine exchange (reversible)	r_4442_REV	0	0	0		
23cGMP transport via diffusion (extracellular to periplasm) (reversible)	r_4443_REV	0	0	0		
D-Glycerate 2-phosphate transport in/out via proton symport (reversible)	r_4444_REV	0	0	0		
3-Phospho-D-glycerate transport in/out via proton symport (reversible)	r_4445_REV	0	0	0		
D-glucose 1-phosphate transport via diffusion (reversible)	r_4446_REV	0	0	0		
carbamoyl phosphate nuclear transport via diffusion (reversible)	r_4447_REV	0	0	0		
Met-Ala transport via proton symport (extracellular to cytosol) (reversible)	r_4448_REV	0	0	0		YJR152W or YKR093W
Met-Ala transport via proton symport (cytosol to vacuole) (reversible)	r_4449_REV	0	0	0		
O-Phospho-L-serine transport in via proton symport (reversible)	r_4450_REV	0	0	0		
GMP transport via proton symport (reversible)	r_4451_REV	0	0	0		
myo-inositol phosphate transport via diffusion (extracellular to periplasm) (reversible)	r_4452_REV	0	0	0		
D-glucose 6-phosphate transport (reversible)	r_4453_REV	0	0	0		
UMP transport (reversible)	r_4454_REV	0	0	0		
Phosphoenolpyruvate transport in via proton symport (reversible)	r_4455_REV	0	0	0		
Mannose 6-phosphate transport via diffusion (extracellular to periplasm) (reversible)	r_4456_REV	0	0	0		
6-Phospho-D-gluconate transport in/out via proton symport (reversible)	r_4458_REV	0	0	0		
MAN1P transport in/out via proton symport (reversible)	r_4459_REV	0	0	0		
Pyrophosphate transport in via proton symport (reversible)	r_4460_REV	0	0	0		
Choline phosphate intracellular transport (reversible)	r_4461_REV	0	0	0		
thiosulfate transport (reversible)	r_4462_REV	0	0	0		
AMP transport in/out via proton symport (reversible)	r_4463_REV	0	0	0		
23cAMP transport via diffusion (extracellular to periplasm) (reversible)	r_4464_REV	0	0	0		
Adenosine- 2'-Monophosphate transport in via proton symport (reversible)	r_4465_REV	0	0	0		
CMP transport in/out via proton symport (reversible)	r_4466_REV	0	0	0		
D-glucosamine transport via diffusion (extracellular to periplasm) (reversible)	r_4467_REV	0	0	0		
2-deoxy-D-ribose transport (reversible)	r_4468_REV	0	0	0		YDR342C or YHR092C
L-Citrulline transport in via proton symport (reversible)	r_4469_REV	0	0	0		YKR039W
Dihydroxyacetone transport via facilitated diffusion (reversible)	r_4470_REV	0	0	0		
Ala-Leu transport via proton symport (extracellular to cytosol) (reversible)	r_4471_REV	0	0	0		YJR152W or YKR093W
Ala-Leu transport via proton symport (cytosol to vacuole) (reversible)	r_4472_REV	0	0	0		
L-alanylglycine transport via proton antiport (reversible)	r_4473_REV	0	0	0		YJR152W or YKR093W
L-alanylglycine transport via proton antiport (reversible)	r_4474_REV	0	0	0		
N-acetyl-L-glutamate transport (reversible)	r_4475_REV	0	0	0		
N-acetyl-L-glutamate transport (reversible)	r_4476_REV	0	0	0		
Lipoamide transport via proton symport (reversible)	r_4477_REV	0	0	0		
L-methionine S-oxide transport via diffusion (extracellular) (reversible)	r_4478_REV	0	0	0		
Gly-Asn transport via proton symport (reversible)	r_4479_REV	0	0	0		
Cysteamine transport via proton antiport (reversible)	r_4480_REV	0	0	0		
L-alanine transport in via proton symport (reversible)	r_4482_REV	0	0	0		
Glycine transport (vacuole) (reversible)	r_4483_REV	0	0	0		
Xylitol:NADP+ 4-oxidoreductase (L-xylulose-forming) (reversible)	r_4490_REV	0	0	0		
Acetoacetate transport via diffusion (reversible)	r_4493_REV	0	0	0		YNL065W
methanol exchange (reversible)	r_4494_REV	0	0	0		
Ala-Gly exchange (reversible)	r_4496_REV	0	0	0		
3-oxalomalate(3-) exchange (reversible)	r_4497_REV	0	0	0		
6-O-alpha-D-glucopyranosyl-D-fructofuranose exchange (reversible)	r_4498_REV	0	0	0		
5-dehydro-D-gluconate exchange (reversible)	r_4499_REV	0	0	0		
D-tagatose exchange (reversible)	r_4500_REV	0	0	0		
turanose exchange (reversible)	r_4501_REV	0	0	0		
D-glucose 6-phosphate exchange (reversible)	r_4502_REV	0	0	0		
alpha-maltotriose exchange (reversible)	r_4503_REV	0	0	0		
D-glucose 1-phosphate exchange (reversible)	r_4504_REV	0	0	0		
methyl alpha-D-glucopyranoside exchange (reversible)	r_4505_REV	0	0	0		
D-Glucosamine exchange (reversible)	r_4506_REV	0	0	0		
glycerone exchange (reversible)	r_4507_REV	0	0	0		
Ala-Gln exchange (reversible)	r_4508_REV	0	0	0		
Ala-Leu exchange (reversible)	r_4509_REV	0	0	0		
Gly-Gln exchange (reversible)	r_4510_REV	0	0	0		
Ala-His exchange (reversible)	r_4511_REV	0	0	0		
Gly-Asn exchange (reversible)	r_4512_REV	0	0	0		
Ala-Glu exchange (reversible)	r_4513_REV	0	0	0		
Gly-Met exchange (reversible)	r_4514_REV	0	0	0		
Ala-Asp exchange (reversible)	r_4515_REV	0	0	0		
Gly-Glu exchange (reversible)	r_4516_REV	0	0	0		
Ala-Thr exchange (reversible)	r_4517_REV	0	0	0		
Met-Ala exchange (reversible)	r_4518_REV	0	0	0		
L-citrulline exchange (reversible)	r_4519_REV	0	0	0		
2-aminobutanoate exchange (reversible)	r_4520_REV	0	0	0		
choline phosphate exchange (reversible)	r_4521_REV	0	0	0		
glycerol 1-phosphate exchange (reversible)	r_4522_REV	0	0	0		
2-phospho-D-glyceric acid exchange (reversible)	r_4523_REV	0	0	0		
GMP exchange (reversible)	r_4524_REV	0	0	0		
3-phospho-serine exchange (reversible)	r_4525_REV	0	0	0		
O-phosphonatooxy-D-serine(2-) exchange (reversible)	r_4526_REV	0	0	0		
diphosphate exchange (reversible)	r_4527_REV	0	0	0		
triphosphate exchange (reversible)	r_4528_REV	0	0	0		
phosphoenolpyruvate exchange (reversible)	r_4529_REV	0	0	0		
N(omega)-phospho-L-arginine exchange (reversible)	r_4530_REV	0	0	0		
carbamoyl phosphate exchange (reversible)	r_4531_REV	0	0	0		
O-phosphoethanolamine exchange (reversible)	r_4532_REV	0	0	0		
cysteamine S-phosphate exchange (reversible)	r_4533_REV	0	0	0		
guanosine 2'-monophosphate exchange (reversible)	r_4534_REV	0	0	0		
glycerol 2-phosphate(2-) exchange (reversible)	r_4535_REV	0	0	0		
3'-GMP exchange (reversible)	r_4536_REV	0	0	0		
2-phosphoglycolate exchange (reversible)	r_4537_REV	0	0	0		
6-phospho-D-gluconate exchange (reversible)	r_4538_REV	0	0	0		
D-mannose 6-phosphate exchange (reversible)	r_4539_REV	0	0	0		
2',3'-cyclic GMP exchange (reversible)	r_4540_REV	0	0	0		
O(4)-phospho-L-tyrosine exchange (reversible)	r_4541_REV	0	0	0		
O-phospho-L-threonine exchange (reversible)	r_4542_REV	0	0	0		
3-phosphonato-D-glycerate(3-) exchange (reversible)	r_4543_REV	0	0	0		
adenosine 2'-phosphate exchange (reversible)	r_4544_REV	0	0	0		
3'-AMP exchange (reversible)	r_4545_REV	0	0	0		
2',3'-cyclic AMP exchange (reversible)	r_4546_REV	0	0	0		
D-mannose 1-phosphate exchange (reversible)	r_4547_REV	0	0	0		
AMP exchange (reversible)	r_4548_REV	0	0	0		
N(alpha)-acetyl-L-methionine exchange (reversible)	r_4549_REV	0	0	0		
L-Methionine S-oxide exchange (reversible)	r_4550_REV	0	0	0		
3-sulfino-L-alanine exchange (reversible)	r_4551_REV	0	0	0		
N-acetyl-L-cysteine exchange (reversible)	r_4552_REV	0	0	0		
L-cysteate exchange (reversible)	r_4553_REV	0	0	0		
2-hydroxyethane-1-sulfonate exchange (reversible)	r_4554_REV	0	0	0		
acetoacetate exchange (reversible)	r_4555_REV	0	0	0		
N-acetyl-L-glutamate exchange (reversible)	r_4556_REV	0	0	0		
UMP exchange (reversible)	r_4557_REV	0	0	0		
CMP exchange (reversible)	r_4558_REV	0	0	0		
thymidine 5'-monophosphate exchange (reversible)	r_4559_REV	0	0	0		
thymidine 3'-monophosphate exchange (reversible)	r_4560_REV	0	0	0		
cytidine 2'-phosphate exchange (reversible)	r_4561_REV	0	0	0		
uridine 2'-phosphate exchange (reversible)	r_4562_REV	0	0	0		
3'-UMP exchange (reversible)	r_4563_REV	0	0	0		
2',3'-cyclic CMP exchange (reversible)	r_4564_REV	0	0	0		
2',3'-cyclic UMP exchange (reversible)	r_4565_REV	0	0	0		
phosphoglycerate dehydrogenase (reversible)	r_4570_REV	1.88099999999802e-05	1.8810000000008e-05	2.12867691178344e-12		
seed:rxn00681 (reversible)	r_4571_REV	0	0	0		
beta-alanine:2-oxoglutarate aminotransferase (reversible)	r_4572_REV	0	0	0		
(R)-2,3-Dihydroxy-3-methylbutanoate:NADP+ oxidoreductase (isomerizing) (reversible)	r_4576_REV	0	0	0		
(R)-2,3-dihydroxy-3-methylbutanoate:NADP+ oxidoreductase (isomerizing) (reversible)	r_4580_REV	0	0	0		
Ca(2+) transport (reversible)	r_4587_REV	0	0	0		YOL122C
chloride transport (reversible)	r_4588_REV	0	0	0		YNL275W
Cu2(+) transport (reversible)	r_4589_REV	0	0	0		YOL122C
Mn(2+) transport (reversible)	r_4590_REV	0	0	0		YGR191W
Zn(2+) transport (reversible)	r_4591_REV	0	0	0		YGL255W or YLR130C
Mg(2+) transport (reversible)	r_4592_REV	0	0	0		YGR191W or YOL130W
chloride exchange (reversible)	r_4593_REV	0.00012771	0.00012771	0		
Cu2(+) exchange (reversible)	r_4594_REV	6.5241e-05	6.5241e-05	0		
Mn(2+) exchange (reversible)	r_4595_REV	0.00027027	0.00027027	0		
Zn(2+) exchange (reversible)	r_4596_REV	7.4052e-05	7.4052e-05	0		
Mg(2+) exchange (reversible)	r_4597_REV	0.00012301146	0.00012301146	0		
Ca(2+) exchange (reversible)	r_4600_REV	2.1483e-05	2.1483e-05	0		
3-(4-hydroxyphenyl)pyruvate transport (reversible)	r_4601_REV	0	0	0		
acetate transport (reversible)	r_4602_REV	0	0	0		
ADP-ribose transport (reversible)	r_4603_REV	0	0	0		
farnesyl diphosphate transport (reversible)	r_4604_REV	0	0	0		
nicotinate transport (reversible)	r_4605_REV	0	0	0		
O-phosphoethanolamine transport (reversible)	r_4606_REV	0	0	0		
phosphate transport (reversible)	r_4607_REV	0	0	0		
UDP transport (reversible)	r_4609_REV	0	0	0		
UDP transport (reversible)	r_4610_REV	0	0	0		
UMP transport (reversible)	r_4611_REV	0	0	0		
TRX1 disulphide transport (reversible)	r_4612_REV	0	0	0		
oleate transport (reversible)	r_4613_REV	0	0	0		
(R)-acetoin transport (reversible)	r_4614_REV	0	0	0		
L-glutamine transport (reversible)	r_4615_REV	0	0	0		
UMP transport (reversible)	r_4616_REV	0	0	0		
S-adenosyl-L-methionine transport (reversible)	r_4617_REV	0	0	0		
glutathione transport (reversible)	r_4618_REV	0	0	0		
ATP transport (reversible)	r_4619_REV	0	0	0		
D-mannose 6-phosphate transport (reversible)	r_4620_REV	0	0	0		
O-acetyl-L-serine transport (reversible)	r_4621_REV	0	0	0		
hydrogen sulfide transport (reversible)	r_4622_REV	0	0	0		
L-cysteinylglycine transport (reversible)	r_4623_REV	0	0	0		
ATP transport (reversible)	r_4624_REV	0	0	0		
thiosulfate transport (reversible)	r_4625_REV	0	0	0		
sulphite transport (reversible)	r_4626_REV	0	0	0		
UDP-D-glucose transport (reversible)	r_4627_REV	0	0	0		
UDP-N-acetyl-alpha-D-glucosamine transport (reversible)	r_4628_REV	0	0	0		
(R)-lactate:ferricytochrome-c 2-oxidoreductase (arm)	arm_r_0001	0	0	0	sce00620  Pyruvate metabolism // sce00920  Sulfur metabolism	(YDL174C and YEL039C) or (YDL174C and YJR048W) or (YEL039C and YEL071W) or (YEL071W and YJR048W)
(R)-lactate:ferricytochrome-c 2-oxidoreductase (No1)	r_0001No1	0	0	0	sce00620  Pyruvate metabolism // sce00920  Sulfur metabolism	YDL174C and YEL039C
(R)-lactate:ferricytochrome-c 2-oxidoreductase (No2)	r_0001No2	0	0	0	sce00620  Pyruvate metabolism // sce00920  Sulfur metabolism	YDL174C and YJR048W
(R)-lactate:ferricytochrome-c 2-oxidoreductase (No3)	r_0001No3	0	0	0	sce00620  Pyruvate metabolism // sce00920  Sulfur metabolism	YEL039C and YEL071W
(R)-lactate:ferricytochrome-c 2-oxidoreductase (No4)	r_0001No4	0	0	0	sce00620  Pyruvate metabolism // sce00920  Sulfur metabolism	YEL071W and YJR048W
(R)-lactate:ferricytochrome-c 2-oxidoreductase (arm)	arm_r_0002	0	0	0	sce00620  Pyruvate metabolism // sce00920  Sulfur metabolism	(YDL178W and YEL039C) or (YDL178W and YJR048W)
(R)-lactate:ferricytochrome-c 2-oxidoreductase (No1)	r_0002No1	0	0	0	sce00620  Pyruvate metabolism // sce00920  Sulfur metabolism	YDL178W and YEL039C
(R)-lactate:ferricytochrome-c 2-oxidoreductase (No2)	r_0002No2	0	0	0	sce00620  Pyruvate metabolism // sce00920  Sulfur metabolism	YDL178W and YJR048W
(R,R)-butanediol dehydrogenase (No1)	r_0003No1	0	0	0	sce00650  Butanoate metabolism	YAL060W
(S)-lactate:ferricytochrome-c 2-oxidoreductase (arm)	arm_r_0004	0	0	0	sce00620  Pyruvate metabolism // sce00920  Sulfur metabolism	(YEL039C and YML054C) or (YJR048W and YML054C)
(S)-lactate:ferricytochrome-c 2-oxidoreductase (No1)	r_0004No1	0	0	0	sce00620  Pyruvate metabolism // sce00920  Sulfur metabolism	YEL039C and YML054C
(S)-lactate:ferricytochrome-c 2-oxidoreductase (No2)	r_0004No2	0	0	0	sce00620  Pyruvate metabolism // sce00920  Sulfur metabolism	YJR048W and YML054C
1,3-beta-glucan synthase (arm)	arm_r_0005	0.0799935956385032	0.0831447656285735	0.0557409405119225	sce00500  Starch and sucrose metabolism // sce04011  MAPK signaling pathway - yeast	YGR032W or YMR306W or (YLR342W and YCR034W)
1,3-beta-glucan synthase (No1)	r_0005No1	0.0799935956385032	0.0831447656285735	0.0557409405119225	sce00500  Starch and sucrose metabolism // sce04011  MAPK signaling pathway - yeast	YGR032W
1,3-beta-glucan synthase (No2)	r_0005No2	0	0	0	sce00500  Starch and sucrose metabolism // sce04011  MAPK signaling pathway - yeast	YMR306W
1,3-beta-glucan synthase (No3)	r_0005No3	0	0	0	sce00500  Starch and sucrose metabolism // sce04011  MAPK signaling pathway - yeast	YLR342W and YCR034W
1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomerase (No1)	r_0007No1	0.00692984341250304	0.00660367528594484	-0.0695535712340847	sce00340  Histidine metabolism // sce01110  Biosynthesis of secondary metabolites // sce01230  Biosynthesis of amino acids	YIL020C
1-pyrroline-5-carboxylate dehydrogenase (No1)	r_0012No1	0	0	0	sce00250  Alanine, aspartate and glutamate metabolism // sce00330  Arginine and proline metabolism	YHR037W
2,3-diketo-5-methylthio-1-phosphopentane degradation reaction (No1)	r_0013No1	0	0	0	sce00270  Cysteine and methionine metabolism	YEL038W and YMR009W
2,5-diamino-6-ribitylamino-4(3H)-pyrimidinone 5'-phosphate deaminase (No1)	r_0014No1	9.9e-05	9.9e-05	0	sce00740  Riboflavin metabolism	YOL066C
2,5-diamino-6-ribosylamino-4(3H)-pyrimidinone 5'-phosphate reductase (NADPH) (No1)	r_0015No1	9.9e-05	9.9e-05	0	sce00740  Riboflavin metabolism	YBR153W
2-aceto-2-hydroxybutanoate synthase (arm)	arm_r_0016	0.0201415078201083	0.0191935040225204	-0.0695535712340848	sce00290  Valine, leucine and isoleucine biosynthesis // sce00650  Butanoate metabolism // sce00660  C5-Branched dibasic acid metabolism // sce00770  Pantothenate and CoA biosynthesis // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01210  2-Oxocarboxylic acid metabolism // sce01230  Biosynthesis of amino acids	(YCL009C and YMR108W) or YMR108W
2-aceto-2-hydroxybutanoate synthase (No1)	r_0016No1	0	0	0	sce00290  Valine, leucine and isoleucine biosynthesis // sce00650  Butanoate metabolism // sce00660  C5-Branched dibasic acid metabolism // sce00770  Pantothenate and CoA biosynthesis // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01210  2-Oxocarboxylic acid metabolism // sce01230  Biosynthesis of amino acids	YCL009C and YMR108W
2-aceto-2-hydroxybutanoate synthase (No2)	r_0016No2	0.0201415078201083	0.0191935040225204	-0.0695535712340848	sce00290  Valine, leucine and isoleucine biosynthesis // sce00650  Butanoate metabolism // sce00660  C5-Branched dibasic acid metabolism // sce00770  Pantothenate and CoA biosynthesis // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01210  2-Oxocarboxylic acid metabolism // sce01230  Biosynthesis of amino acids	YMR108W
2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase (No1)	r_0017No1	0	0	0	sce00790  Folate biosynthesis	YNL256W
2-aminoadipate transaminase (arm)	arm_r_0018	0.0299143475824189	0.0285063638622435	-0.0695535712340845	sce00130  Ubiquinone and other terpenoid-quinone biosynthesis // sce00270  Cysteine and methionine metabolism // sce00300  Lysine biosynthesis // sce00350  Tyrosine metabolism // sce00360  Phenylalanine metabolism // sce00380  Tryptophan metabolism // sce00400  Phenylalanine, tyrosine and tryptophan biosynthesis // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01210  2-Oxocarboxylic acid metabolism // sce01230  Biosynthesis of amino acids	YER152C or YGL202W or YJL060W
2-aminoadipate transaminase (No1)	r_0018No1	0	0	0	sce00130  Ubiquinone and other terpenoid-quinone biosynthesis // sce00270  Cysteine and methionine metabolism // sce00300  Lysine biosynthesis // sce00350  Tyrosine metabolism // sce00360  Phenylalanine metabolism // sce00380  Tryptophan metabolism // sce00400  Phenylalanine, tyrosine and tryptophan biosynthesis // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01210  2-Oxocarboxylic acid metabolism // sce01230  Biosynthesis of amino acids	YER152C
2-aminoadipate transaminase (No2)	r_0018No2	0	0	0	sce00130  Ubiquinone and other terpenoid-quinone biosynthesis // sce00270  Cysteine and methionine metabolism // sce00300  Lysine biosynthesis // sce00350  Tyrosine metabolism // sce00360  Phenylalanine metabolism // sce00380  Tryptophan metabolism // sce00400  Phenylalanine, tyrosine and tryptophan biosynthesis // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01210  2-Oxocarboxylic acid metabolism // sce01230  Biosynthesis of amino acids	YGL202W
2-aminoadipate transaminase (No3)	r_0018No3	0.0299143475824189	0.0285063638622435	-0.0695535712340845	sce00130  Ubiquinone and other terpenoid-quinone biosynthesis // sce00270  Cysteine and methionine metabolism // sce00300  Lysine biosynthesis // sce00350  Tyrosine metabolism // sce00360  Phenylalanine metabolism // sce00380  Tryptophan metabolism // sce00400  Phenylalanine, tyrosine and tryptophan biosynthesis // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01210  2-Oxocarboxylic acid metabolism // sce01230  Biosynthesis of amino acids	YJL060W
2-dehydropantoate 2-reductase (No1)	r_0019No1	0	0	0	sce00770  Pantothenate and CoA biosynthesis // sce01110  Biosynthesis of secondary metabolites	YHR063C
2-deoxy-D-arabino-heptulosonate 7-phosphate synthetase (arm)	arm_r_0020	0.0282325471161453	0.0269323004835269	-0.0680218271946933	sce00400  Phenylalanine, tyrosine and tryptophan biosynthesis // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01230  Biosynthesis of amino acids	YDR035W or YBR249C
2-deoxy-D-arabino-heptulosonate 7-phosphate synthetase (No1)	r_0020No1	0	0.0269323004835269	34.6486184150454	sce00400  Phenylalanine, tyrosine and tryptophan biosynthesis // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01230  Biosynthesis of amino acids	YDR035W
2-deoxy-D-arabino-heptulosonate 7-phosphate synthetase (No2)	r_0020No2	0.0282325471161453	0	-34.7166402422401	sce00400  Phenylalanine, tyrosine and tryptophan biosynthesis // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01230  Biosynthesis of amino acids	YBR249C
2-hexaprenyl-6-methoxy-1,4-benzoquinone methyltransferase (No1)	r_0021No1	0	0	0	sce00130  Ubiquinone and other terpenoid-quinone biosynthesis // sce01110  Biosynthesis of secondary metabolites	YDR204W and YGL119W and YGR255C and YLR201C and YML110C and YOL096C and YOR125C
2-hexaprenyl-6-methoxyphenol monooxygenase (No1)	r_0022No1	0	0	0	sce00130  Ubiquinone and other terpenoid-quinone biosynthesis // sce01110  Biosynthesis of secondary metabolites	YDR204W and YGL119W and YGR255C and YLR201C and YML110C and YOL096C and YOR125C
2-isopropylmalate hydratase (No1)	r_0023No1	0	0	0	sce00290  Valine, leucine and isoleucine biosynthesis // sce01110  Biosynthesis of secondary metabolites // sce01210  2-Oxocarboxylic acid metabolism // sce01230  Biosynthesis of amino acids	YGL009C
2-isopropylmalate synthase (arm)	arm_r_0024	0	0	0	sce00290  Valine, leucine and isoleucine biosynthesis // sce00620  Pyruvate metabolism // sce01110  Biosynthesis of secondary metabolites // sce01210  2-Oxocarboxylic acid metabolism // sce01230  Biosynthesis of amino acids	YNL104C or YOR108W
2-isopropylmalate synthase (No1)	r_0024No1	0	0	0	sce00290  Valine, leucine and isoleucine biosynthesis // sce00620  Pyruvate metabolism // sce01110  Biosynthesis of secondary metabolites // sce01210  2-Oxocarboxylic acid metabolism // sce01230  Biosynthesis of amino acids	YNL104C
2-isopropylmalate synthase (No2)	r_0024No2	0	0	0	sce00290  Valine, leucine and isoleucine biosynthesis // sce00620  Pyruvate metabolism // sce01110  Biosynthesis of secondary metabolites // sce01210  2-Oxocarboxylic acid metabolism // sce01230  Biosynthesis of amino acids	YOR108W
2-isopropylmalate synthase (No1)	r_0025No1	0.0309804325411737	0.0295222712176889	-0.0695535712340847	sce00290  Valine, leucine and isoleucine biosynthesis // sce00620  Pyruvate metabolism // sce01110  Biosynthesis of secondary metabolites // sce01210  2-Oxocarboxylic acid metabolism // sce01230  Biosynthesis of amino acids	YNL104C
2-keto-4-methylthiobutyrate transamination (arm)	arm_r_0026	0	0	0		YHR208W or YJR148W or YGL202W or YHR137W
2-keto-4-methylthiobutyrate transamination (No1)	r_0026No1	0	0	0		YHR208W
2-keto-4-methylthiobutyrate transamination (No2)	r_0026No2	0	0	0		YJR148W
2-keto-4-methylthiobutyrate transamination (No3)	r_0026No3	0	0	0		YGL202W
2-keto-4-methylthiobutyrate transamination (No4)	r_0026No4	0	0	0		YHR137W
2-methylcitrate dehydratase (No1)	r_0027No1	0.0299143475824189	0.0285063638622435	-0.0695535712340845	sce00300  Lysine biosynthesis // sce01130  Biosynthesis of antibiotics // sce01210  2-Oxocarboxylic acid metabolism // sce01230  Biosynthesis of amino acids	YDR234W
2-methylcitrate synthase (No1)	r_0028No1	0	0	0	sce00020  Citrate cycle (TCA cycle) // sce00630  Glyoxylate and dicarboxylate metabolism // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01200  Carbon metabolism // sce01210  2-Oxocarboxylic acid metabolism // sce01230  Biosynthesis of amino acids	YPR001W
2-oxo-4-methyl-3-carboxypentanoate decarboxylation (No1)	r_0029No1	0.0309804325411737	0.0295222712176889	-0.0695535712340847	sce00270  Cysteine and methionine metabolism // sce00280  Valine, leucine and isoleucine degradation // sce00290  Valine, leucine and isoleucine biosynthesis // sce00770  Pantothenate and CoA biosynthesis // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01210  2-Oxocarboxylic acid metabolism // sce01230  Biosynthesis of amino acids	YJR148W
2-oxo-4-methyl-3-carboxypentanoate decarboxylation (No1)	r_0030No1	0	0	0	sce00270  Cysteine and methionine metabolism // sce00280  Valine, leucine and isoleucine degradation // sce00290  Valine, leucine and isoleucine biosynthesis // sce00770  Pantothenate and CoA biosynthesis // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01210  2-Oxocarboxylic acid metabolism // sce01230  Biosynthesis of amino acids	YHR208W
3',5'-bisphosphate nucleotidase (No1)	r_0032No1	0.00598926325833728	0.00570737117053947	-0.0695521578077698	sce00920  Sulfur metabolism // sce01130  Biosynthesis of antibiotics	YOL064C
